plot,latitude,longitutde,elevation,plot_size,treatment,mowing,survey_date_2024,botanist_2024,cover_vegetation_2024,cover_moss_2024,cover_litter_2024,cover_soil_2024,height_vegetation_2024,comments
res29,4828895,1164883,469,4,cut_summer,2000,2024-06-10,Maren Teschauer,65,65,80,4,44,Richtung Westen: Ästige Graslilie Salvia pratensis Orobanche Oreoselinum majus Stachys recta
res04,4828895,1164883,469,4,cut_summer,1990,2024-06-06,Maren Teschauer / Sina Appeltauer / Malte Knöppler,70,80,70,1,35,
res10,4828895,1164883,469,4,cut_summer,2000,2024-06-06,Maren Teschauer / Sina Appeltauer / Malte Knöppler,60,80,60,2,30,Dianthus daneben
res12,4828895,1164883,469,4,grazing,2000,2024-06-06,Maren Teschauer / Sina Appeltauer / Malte Knöppler,25,12,2,70,5,Dorycnium pentaphyllum Anthyllis vulneraria
res18,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,25,85,5,10,9,
res15,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,25,30,2,65,9,
res17,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,15,7,1,80,2,Kaninchenspuren
res16,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,45,65,4,4,17,
res02,4828895,1164883,469,4,grazing,1990,2024-06-08,Malte Knöppler / Sina Appeltauer,30,55,3,20,7,
res01,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,35,60,3,7,12,
res03,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,50,55,1,10,6,
res20,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,20,50,1,35,3,Kaninchenbau daneben
res21,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,40,15,2,45,12,
res19,4828895,1164883,469,4,grazing,2000,2024-06-08,Malte Knöppler / Sina Appeltauer,20,7,2,70,4,
res13,4828895,1164883,469,4,grazing,2000,2024-06-08,Sina Appeltauer / Malte Knöppler,30,70,2,20,11,
res14,4828895,1164883,469,4,grazing,2000,2024-06-08,Sina Appeltauer / Malte Knöppler,35,40,3,40,9,
res30,4828895,1164883,469,4,cut_summer,2000,2024-06-10,Maren Teschauer,50,75,80,7,49,
res11,4828895,1164883,469,4,cut_summer,2000,2024-06-10,Maren Teschauer,55,85,80,3,31,
res06,4828895,1164883,469,4,cut_summer,1990,2024-06-10,Maren Teschauer,50,60,90,3,39,
res05,4828895,1164883,469,4,cut_summer,1990,2024-06-10,Maren Teschauer / Sina Appeltauer,90,5,50,5,45,
res09,4828895,1164883,469,4,cut_summer,2000,2024-06-10,Maren Teschauer / Sina Appeltauer,55,90,30,5,37,
